,pathway_name,pathway_description,ko_id
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13513
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13517
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00649
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01517
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01080
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K15728
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K18693
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00901
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00994
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13644
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01115
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16860
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00650
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01047
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16342
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16343
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14621
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K16817
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13510
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13512
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13515
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06128
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06129
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06130
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14676
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K18695
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00623
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01049
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14156
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K06124
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00968
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00993
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00894
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00967
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K14286
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00551
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00981
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K13618
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08729
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K08730
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K01613
18,hsa00564,Glycerophospholipid metabolism - Homo sapiens (human),K00995
