,pathway_name,pathway_description,ko_id
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K23755
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05616
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K11413
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K08180
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K11416
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04377
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K08268
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05091
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05099
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05126
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04361
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05083
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K03176
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05101
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04363
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05089
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04362
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05093
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05094
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K05092
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K02833
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K07827
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K07828
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04366
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04368
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04369
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04371
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K01425
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00036
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00844
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00850
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K01834
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00016
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00031
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K14634
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K01110
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K00922
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K02649
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K04456
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K07203
53,hsa05230,Central carbon metabolism in cancer - Homo sapiens (human),K13780
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04357
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04359
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K17386
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K05450
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04361
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04363
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K05089
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04364
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K03099
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K02833
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07827
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07828
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04366
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04368
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04369
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04371
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08732
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04440
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K16342
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K00922
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K02649
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K06276
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04456
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07206
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07207
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07208
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07203
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04688
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07205
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K00889
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K05747
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04392
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07860
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K07861
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K05753
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K05748
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K06083
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04684
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K01115
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K14387
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K06515
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K15377
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K15282
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08198
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08199
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08200
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08202
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K14156
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K08268
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04448
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K04379
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K00968
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K00994
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K01116
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K01080
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K00901
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K02677
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K19662
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K19663
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K06128
54,hsa05231,Choline metabolism in cancer - Homo sapiens (human),K18695
