,Unnamed: 0,pathway_name,pathway_description,ko_id
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K18086
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00888
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K19801
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K13711
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21797
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21798
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00889
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K13712
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01099
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K20278
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K20279
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00922
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K21289
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01110
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K03084
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K15909
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00923
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01109
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00921
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K22913
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00920
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05858
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05857
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05860
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01116
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05859
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K05861
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K19006
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01092
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K00999
14,14,hsa00562,Inositol phosphate metabolism - Homo sapiens (human),K01858
